TIME,GEO,S_ADJ,AGE,UNIT,SEX,Value,Flag and Footnotes
2019M09,European Union - 27 countries (from 2020),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,"13,996",
2019M09,European Union - 27 countries (from 2020),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,6.5,
2019M09,European Union - 27 countries (from 2020),"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,"14,214",
2019M09,European Union - 27 countries (from 2020),"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,6.6,
2019M09,European Union - 28 countries (2013-2020),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,"15,315",
2019M09,European Union - 28 countries (2013-2020),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,6.2,
2019M09,European Union - 28 countries (2013-2020),"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,"15,481",
2019M09,European Union - 28 countries (2013-2020),"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,6.3,
2019M09,European Union - 27 countries (2007-2013),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,"15,211",
2019M09,European Union - 27 countries (2007-2013),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,6.2,
2019M09,European Union - 27 countries (2007-2013),"Seasonally adjusted data, not calendar adjusted data",Total,Thousand persons,Total,"15,365",
2019M09,European Union - 27 countries (2007-2013),"Seasonally adjusted data, not calendar adjusted data",Total,Percentage of active population,Total,6.2,
2019M09,European Union - 25 countries (2004-2006),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Thousand persons,Total,"14,724",
2019M09,European Union - 25 countries (2004-2006),Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),Total,Percentage of active population,Total,6.3,
